sequence_frame,timestamp,registration_success,weak_flag,weak_multiplier,q_weak,rolling_weak_fraction,rolling_q_median,rolling_successful_frames,rolling_q_frames,gate_candidate,state_before,state_after,selected_estimator,mode_switch
321,1.70554e+09,1,0,1.0,0.119904,0.0,nan,20,0,g0,Native,Native,Native,0
323,1.70554e+09,1,0,1.0,0.111614,0.0,nan,20,0,g0,Native,Native,Native,0
325,1.70554e+09,1,0,1.0,0.117179,0.0,nan,20,0,g0,Native,Native,Native,0
327,1.70554e+09,1,0,1.0,0.111142,0.0,nan,20,0,g0,Native,Native,Native,0
329,1.70554e+09,1,0,1.0,0.102572,0.0,nan,20,0,g0,Native,Native,Native,0
331,1.70554e+09,1,0,1.0,0.112023,0.0,nan,20,0,g0,Native,Native,Native,0
333,1.70554e+09,1,0,1.0,0.126603,0.0,nan,20,0,g0,Native,Native,Native,0
335,1.70554e+09,1,0,1.0,0.109954,0.0,nan,20,0,g0,Native,Native,Native,0
337,1.70554e+09,1,0,1.0,0.128638,0.0,nan,20,0,g0,Native,Native,Native,0
339,1.70554e+09,1,0,1.0,0.10199,0.0,nan,20,0,g0,Native,Native,Native,0
341,1.70554e+09,1,0,1.0,0.0999452,0.0,nan,20,0,g0,Native,Native,Native,0
343,1.70554e+09,1,0,1.0,0.104974,0.0,nan,20,0,g0,Native,Native,Native,0
345,1.70554e+09,1,0,1.0,0.105308,0.0,nan,20,0,g0,Native,Native,Native,0
347,1.70554e+09,1,0,1.0,0.105771,0.0,nan,20,0,g0,Native,Native,Native,0
349,1.70554e+09,1,0,1.0,0.102655,0.0,nan,20,0,g0,Native,Native,Native,0
351,1.70554e+09,1,0,1.0,0.0986601,0.0,nan,20,0,g0,Native,Native,Native,0
353,1.70554e+09,1,0,1.0,0.10287,0.0,nan,20,0,g0,Native,Native,Native,0
355,1.70554e+09,1,0,1.0,0.106156,0.0,nan,20,0,g0,Native,Native,Native,0
357,1.70554e+09,1,0,1.0,0.105205,0.0,nan,20,0,g0,Native,Native,Native,0
359,1.70554e+09,1,0,1.0,0.104751,0.0,nan,20,0,g0,Native,Native,Native,0
361,1.70554e+09,1,0,1.0,0.0996907,0.0,nan,20,0,g0,Native,Native,Native,0
363,1.70554e+09,1,0,1.0,0.104748,0.0,nan,20,0,g0,Native,Native,Native,0
365,1.70554e+09,1,0,1.0,0.112256,0.0,nan,20,0,g0,Native,Native,Native,0
367,1.70554e+09,1,0,1.0,0.109156,0.0,nan,20,0,g0,Native,Native,Native,0
369,1.70554e+09,1,0,1.0,0.128106,0.0,nan,20,0,g0,Native,Native,Native,0
371,1.70554e+09,1,0,1.0,0.142708,0.0,nan,20,0,g0,Native,Native,Native,0
373,1.70554e+09,1,0,1.0,0.123295,0.0,nan,20,0,g0,Native,Native,Native,0
375,1.70554e+09,1,0,1.0,0.107531,0.0,nan,20,0,g0,Native,Native,Native,0
377,1.70554e+09,1,0,1.0,0.108906,0.0,nan,20,0,g0,Native,Native,Native,0
379,1.70554e+09,1,0,1.0,0.108586,0.0,nan,20,0,g0,Native,Native,Native,0
381,1.70554e+09,1,0,1.0,0.107387,0.0,nan,20,0,g0,Native,Native,Native,0
383,1.70554e+09,1,0,1.0,0.113664,0.0,nan,20,0,g0,Native,Native,Native,0
385,1.70554e+09,1,0,1.0,0.112839,0.0,nan,20,0,g0,Native,Native,Native,0
387,1.70554e+09,1,0,1.0,0.112962,0.0,nan,20,0,g0,Native,Native,Native,0
389,1.70554e+09,1,0,1.0,0.107521,0.0,nan,20,0,g0,Native,Native,Native,0
391,1.70554e+09,1,0,1.0,0.130584,0.0,nan,20,0,g0,Native,Native,Native,0
393,1.70554e+09,1,0,1.0,0.112695,0.0,nan,20,0,g0,Native,Native,Native,0
395,1.70554e+09,1,0,1.0,0.117758,0.0,nan,20,0,g0,Native,Native,Native,0
397,1.70554e+09,1,0,1.0,0.127244,0.0,nan,20,0,g0,Native,Native,Native,0
399,1.70554e+09,1,0,1.0,0.111449,0.0,nan,20,0,g0,Native,Native,Native,0
401,1.70554e+09,1,0,1.0,0.112959,0.0,nan,20,0,g0,Native,Native,Native,0
403,1.70554e+09,1,0,1.0,0.110774,0.0,nan,20,0,g0,Native,Native,Native,0
405,1.70554e+09,1,0,1.0,0.143691,0.0,nan,20,0,g0,Native,Native,Native,0
407,1.70554e+09,1,0,1.0,0.104307,0.0,nan,20,0,g0,Native,Native,Native,0
409,1.70554e+09,1,0,1.0,0.129253,0.0,nan,20,0,g0,Native,Native,Native,0
411,1.70554e+09,1,0,1.0,0.109112,0.0,nan,20,0,g0,Native,Native,Native,0
413,1.70554e+09,1,0,1.0,0.116181,0.0,nan,20,0,g0,Native,Native,Native,0
415,1.70554e+09,1,0,1.0,0.111203,0.0,nan,20,0,g0,Native,Native,Native,0
417,1.70554e+09,1,0,1.0,0.114142,0.0,nan,20,0,g0,Native,Native,Native,0
419,1.70554e+09,1,0,1.0,0.108423,0.0,nan,20,0,g0,Native,Native,Native,0
421,1.70554e+09,1,0,1.0,0.163292,0.0,nan,20,0,g0,Native,Native,Native,0
423,1.70554e+09,1,0,1.0,0.104874,0.0,nan,20,0,g0,Native,Native,Native,0
425,1.70554e+09,1,0,1.0,0.108675,0.0,nan,20,0,g0,Native,Native,Native,0
427,1.70554e+09,1,0,1.0,0.10082,0.0,nan,20,0,g0,Native,Native,Native,0
429,1.70554e+09,1,0,1.0,0.110328,0.0,nan,20,0,g0,Native,Native,Native,0
431,1.70554e+09,1,0,1.0,0.102864,0.0,nan,20,0,g0,Native,Native,Native,0
433,1.70554e+09,1,0,1.0,0.103742,0.0,nan,20,0,g0,Native,Native,Native,0
435,1.70554e+09,1,1,1.23462,0.126782,0.05,0.126782,20,1,g0,Native,Native,Native,0
437,1.70554e+09,1,1,1.30751,0.129587,0.1,0.1281845,20,2,g0,Native,Native,Native,0
439,1.70554e+09,1,0,1.0,0.105133,0.1,0.1281845,20,2,g0,Native,Native,Native,0
441,1.70554e+09,1,0,1.0,0.103473,0.1,0.1281845,20,2,g0,Native,Native,Native,0
443,1.70554e+09,1,0,1.0,0.101325,0.1,0.1281845,20,2,g0,Native,Native,Native,0
445,1.70554e+09,1,0,1.0,0.0945194,0.1,0.1281845,20,2,g0,Native,Native,Native,0
447,1.70554e+09,1,0,1.0,0.107766,0.1,0.1281845,20,2,g0,Native,Native,Native,0
449,1.70554e+09,1,1,1.02848,0.113289,0.15,0.126782,20,3,g0,Native,Native,Native,0
451,1.70554e+09,1,1,1.1708,0.117417,0.2,0.1220995,20,4,g0,Native,Native,Native,0
453,1.70554e+09,1,0,1.0,0.11176,0.2,0.1220995,20,4,g0,Native,Native,Native,0
455,1.70554e+09,1,0,1.0,0.104931,0.2,0.1220995,20,4,g0,Native,Native,Native,0
457,1.70554e+09,1,1,1.43282,0.148284,0.25,0.126782,20,5,g0,Native,Native,Native,0
459,1.70554e+09,1,1,1.11375,0.107709,0.3,0.1220995,20,6,g0,Native,Native,Native,0
461,1.70554e+09,1,1,1.08172,0.108695,0.35,0.117417,20,7,g0,Native,Native,Native,0
463,1.70554e+09,1,1,1.07806,0.109847,0.4,0.115353,20,8,g0,Native,Native,Native,0
465,1.70554e+09,1,1,1.25403,0.128759,0.45,0.117417,20,9,g0,Native,Native,Native,0
467,1.70554e+09,1,1,1.29797,0.122012,0.5,0.1197145,20,10,g0,Native,Native,Native,0
469,1.70554e+09,1,1,1.05642,0.107485,0.55,0.117417,20,11,g0,Native,Native,Native,0
471,1.70554e+09,1,0,1.0,0.108947,0.55,0.117417,20,11,g0,Native,Native,Native,0
473,1.70554e+09,1,1,1.27615,0.128859,0.6,0.1197145,20,12,g0,Native,Native,Native,0
475,1.70554e+09,1,1,1.2182,0.113823,0.6,0.11562,20,12,g0,Native,Native,Native,0
477,1.70554e+09,1,1,1.48658,0.126361,0.6,0.11562,20,12,g0,Native,Native,Native,0
479,1.70554e+09,1,1,1.21311,0.12083,0.65,0.117417,20,13,g0,Native,Native,Native,0
481,1.70554e+09,1,1,1.08921,0.120806,0.7,0.1191115,20,14,g0,Native,Native,Native,0
483,1.70554e+09,1,0,1.0,0.105542,0.7,0.1191115,20,14,g0,Native,Native,Native,0
485,1.70554e+09,1,1,1.23583,0.117377,0.75,0.117417,20,15,g0,Native,Loose,Loose_L1,1
487,1.70554e+09,1,0,1.0,0.100598,0.75,0.117417,20,15,g0,Loose,Loose,Loose_L1,0
489,1.70554e+09,1,1,1.08364,0.11277,0.75,0.117417,20,15,g0,Loose,Loose,Loose_L1,0
491,1.70554e+09,1,1,1.05323,0.101631,0.75,0.117377,20,15,g0,Loose,Loose,Loose_L1,0
493,1.70554e+09,1,1,1.16687,0.120918,0.8,0.11909149999999999,20,16,g0,Loose,Loose,Loose_L1,0
495,1.70554e+09,1,1,1.18311,0.110886,0.85,0.117377,20,17,g0,Loose,Loose,Loose_L1,0
497,1.70554e+09,1,0,1.0,0.0986108,0.8,0.1156,20,16,g0,Loose,Loose,Loose_L1,0
499,1.70554e+09,1,0,1.0,0.110109,0.75,0.117377,20,15,g0,Loose,Loose,Loose_L1,0
501,1.70554e+09,1,0,1.0,0.102996,0.7,0.11909149999999999,20,14,g0,Loose,Loose,Loose_L1,0
503,1.70554e+09,1,1,1.00482,0.0999618,0.7,0.11909149999999999,20,14,g0,Loose,Loose,Loose_L1,0
